id,abbrev,primary,secondary,color_3,color_4,color_5,retro_primary,retro_secondary,retro_color_3,retro_color_4,retro_color_5,retro_color_6,retro2_primary,retro2_secondary,retro2_color_3,retro2_color_4,source
1,ARI,#97233F,#000000,#FFB612,,,,,,,,,,,,,https://teamcolorcodes.com/arizona-cardinals-color-codes/
2,ATL,#A71930,#000000,#A5ACAF,,,C8102E,#000000,#A5ACAF,,,,,,,,https://teamcolorcodes.com/atlanta-falcons-color-codes/
3,BAL,#241773,#000000,#9E7C0C,#C60C30,,,,,,,,,,,,https://teamcolorcodes.com/baltimore-ravens-color-codes/
4,BUF,#00338D,#C60C30,,,,,,,,,,,,,,https://teamcolorcodes.com/buffalo-bills-color-codes/
5,CAR,#0085CA,#101820,#BFC0BF,,,,,,,,,,,,,https://teamcolorcodes.com/carolina-panthers-color-codes/
6,CHI,#0B162A,#C83803,,,,#041C2C,#C83803,,,,,,#041C2C,#FA4616,,https://teamcolorcodes.com/chicago-bears-color-codes/
7,CIN,#FB4F14,#000000,,,,,,,,,,,,,,https://teamcolorcodes.com/cincinnati-bengals-color-codes/
8,CLE,#311D00,#FF3C00,#FFFFFF,,,#342624,#EC5614,#FC7E7C,#FFFFFF,,,,,,,https://teamcolorcodes.com/cleveland-browns-color-codes/
9,DAL,#003594,#041E42,#869397,#7F9695,#FFFFFF,,,,,,,,,,,https://teamcolorcodes.com/dallas-cowboys-color-codes/
10,DEN,#FB4F14,#002244,,,,#FA4616,#001489,,,,,,,,,teamcolorcodes.com/denver-broncos-color-codes/
11,DET,#0076B6,#B0B7BC,#000000,,,,,,,,,,,,,https://teamcolorcodes.com/detroit-lions-color-codes/
12,GB,#203731,#FFB612,,,,,,,,,,,,,,https://teamcolorcodes.com/green-bay-packers-color-codes/
13,HOU,#03202F,#A71930,,,,,,,,,,,,,,https://teamcolorcodes.com/houston-texans-color-codes/
14,IND,#002C5F,#A2AAAD,,,,#003087,#FFFFFF,,,,,,,,,https://teamcolorcodes.com/indianapolis-colts-color-codes/
15,JAX,#006778,#101820,#D7A22A,#9F792C,,#00677F,#000000,#D7A22A,#9F792C,,,,,,,https://teamcolorcodes.com/jacksonville-jaguars-color-codes/
16,KC,#E31837,#FFB81C,,,,,,,,,,,,,,https://teamcolorcodes.com/kansas-city-chiefs-color-codes/
17,LAC,#0080C6,#FFC20E,#FFFFFF,,,,,,,,,,,,,https://teamcolorcodes.com/los-angeles-chargers-color-codes/
18,LA,#003594,#FFA300,#FF8200,#FFD100,#FFFFFF,#002244,#86D4B,,,,,#002D72,#FFCD00,,,https://teamcolorcodes.com/los-angeles-rams-team-colors/
19,MIA,#008E97,#FC4C02,#005778,,,#008E97,#F58220,#005778,,,,#005F61,#FA4616,#041E42,,https://teamcolorcodes.com/miami-dolphins-color-codes/
20,MIN,#4F2683,#FFC62F,,,,,,,,,,,,,,https://teamcolorcodes.com/minnesota-vikings-color-codes/
21,NE,#002244,#C60C30,#B0B7BC,,,#012169,#C8102E,#8A8D8F,,,,#04328C,#CC122C,#FFFFFF,#4C2E34,https://teamcolorcodes.com/new-england-patriots-color-codes/
22,NO,#D3BC8D,#101820,,,,,,,,,,,,,,https://teamcolorcodes.com/new-orleans-saints-color-codes/
23,NYG,#0B2265,#A71930,#A5ACAF,,,,,,,,,,,,,https://teamcolorcodes.com/new-york-giants-color-codes/
24,NYJ,#125740,#000000,#FFFFFF,,,#003F2D,#FFFFFF,,,,,#046A38,#27251F,,,https://teamcolorcodes.com/new-york-jets-color-codes/
25,LV,#000000,#A5ACAF,,,,,,,,,,,,,,https://teamcolorcodes.com/oakland-raiders-color-codes/
26,PHI,#004C54,#A5ACAF,#ACC0C6,#000000,#565A5C,#046A38,#8A8D8F,#91999F,#FFCD00,#A1561C,#27251F,,,,,https://teamcolorcodes.com/philadelphia-eagles-color-codes/
27,PIT,#101820,#FFB612,#003087,#C60C30,#A5ACAF,,,,,,,,,,,https://teamcolorcodes.com/pittsburgh-steelers-color-codes/
28,SF,#AA0000,#B3995D,,,,,,,,,,,,,,https://teamcolorcodes.com/san-francisco-49ers-team-colors/
29,SEA,#002244,#69BE28,#A5ACAF,,,#003087,#046A38,#8A8D8F,#B2B4B2,,,,,,,https://teamcolorcodes.com/seattle-seahawks-color-codes/
30,TB,#D50A0A,#FF7900,#0A0A08,#B1BABF,#34302B,#A1692E,#FC4C02,#696158,,,,#FF8200,#C8102E,,,https://teamcolorcodes.com/tampa-bay-buccaneers-team-colors/
31,TEN,#0C2340,4B92DB,#C8102E,#8A8D8F,#A2AAAD,#418FDE,#C8102E,,,,,,,,,https://teamcolorcodes.com/tennessee-titans-color-codes/
32,WAS,#5A1414,#FFB612,,,,#773141,#FFB612,,,,,,,,,https://teamcolorcodes.com/washington-redskins-color-codes/
